epsilon,Gamma,m_np,F_mf,alpha_PSO-M,alpha_SO,alpha,beta_PSO-M,beta_SO,beta,Time[s]

0.001,2,20,29,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,44.269712164998055
0.002,2,10,19,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,30.2335914503783
0.003,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.93922632932663
0.004,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.652077930048108
0.005,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.481254763901234
0.006,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.716112654656172
0.007,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.28440287709236
0.008,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.613951535895467
0.009,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.450437678024173
0.01,1,8,9,0.7991902834,0.7991902834,0.0,0.7991902834,0.1809569378,3.416466663926936,16.64965266175568
0.02,1,7,8,0.6267482517,0.6267482517,0.0,0.5559440559,0.1809569378,2.072245047130765,15.696014484390616
0.03,1,6,7,0.5910931174,0.620242915,0.04699738907940596,0.2459563543,0.1809569378,0.3591982561720826,13.133464632555842
0.04,1,4,5,0.2580231065,0.4694055944,0.45031949005676364,0.2060728745,0.1809569378,0.1387951023340096,14.830251079052687
0.05,1,3,4,0.412145749,0.4694055944,0.1219837302390702,0.412145749,0.1809569378,1.2775902046680192,8.5411438010633
0.06,1,2,3,0.2580231065,0.4694055944,0.45031949005676364,0.2060728745,0.1809569378,0.1387951023340096,8.850803786888719
0.07,1,1,2,0.2023106547,0.2023106547,0.0,0.1809569378,0.1809569378,0.0,10.969882240518928
0.08,0,1,1,0.1809569378,0.1809569378,0.0,0.1809569378,0.1809569378,0.0,8.79568556509912
0.09,0,1,1,0.1809569378,0.1809569378,0.0,0.1809569378,0.1809569378,0.0,8.89942885749042
0.1,0,1,1,0.1809569378,0.1809569378,0.0,0.1809569378,0.1809569378,0.0,8.828756358474493
0.2,0,1,1,0.1809569378,0.1809569378,0.0,0.1809569378,0.1809569378,0.0,9.043497135862708
