epsilon,Gamma,m_np,F_mf,alpha_PSO-M,alpha_SO,alpha,beta_PSO-M,beta_SO,beta,Time[s]

0.001,2,47,59,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,131.46012942306697
0.002,2,36,48,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,102.88448382914066
0.003,2,25,37,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,80.65540427714586
0.004,2,14,26,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,59.922700045630336
0.005,2,3,15,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,37.98300529643893
0.006,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.72377209365368
0.007,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,32.22275176458061
0.008,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,32.04639912955463
0.009,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.650814885273576
0.01,1,11,12,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,31.277048802003264
0.02,1,10,11,0.645979021,0.645979021,0.0,0.3425101215,0.1363636364,1.5117408903302025,30.15128344297409
0.03,1,9,10,0.323272091,0.3619422572,0.10684070575001106,0.2894649934,0.1363636364,1.1227432843672684,65.11243156529963
0.04,1,8,9,0.3425101215,0.3619422572,0.05368849675174104,0.3425101215,0.1363636364,1.5117408903302025,49.29318669997156
0.05,1,7,8,0.1806364859,0.3175407925,0.4311392735470357,0.1806364859,0.1363636364,0.32466756291342214,33.35587126761675
0.06,1,5,6,0.1806364859,0.1806364859,0.0,0.1712550607,0.1363636364,0.25587044479843457,32.86181568726897
0.07,1,4,5,0.1806364859,0.1806364859,0.0,0.1518377409,0.1363636364,0.11347676630307289,46.3746844381094
0.08,1,3,4,0.1455103359,0.1455103359,0.0,0.1434940555,0.1363636364,0.05228974005272279,39.75466796010733
0.09,1,2,3,0.1538616104,0.1363636364,-0.12831847596578175,0.1428493142,0.1363636364,0.047561637187316944,38.20042263716459
0.1,1,1,2,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,26.566912848502398
0.2,0,1,1,0.1363636364,0.1363636364,0.0,0.1363636364,0.1363636364,0.0,18.87816173583269
