epsilon,Gamma,m_np,F_mf,alpha_PSO-M,alpha_SO,alpha,beta_PSO-M,beta_SO,beta,Time[s]
0.001,2,99,115,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,6905.156760411337
0.002,2,87,103,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,6608.474499549717
0.003,2,76,92,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,5478.842315675691
0.004,2,65,81,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,5178.380078252405
0.005,2,53,69,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,4360.038057729602
0.006,2,42,58,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,3532.5842743534595
0.007,2,30,46,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,2766.030523614958
0.008,2,19,35,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,2056.256807655096
0.009,2,8,24,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,1397.6607115920633
0.01,1,15,16,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,919.110522294417
0.02,1,14,15,0.2183727034,0.4186939821,0.47844317631523936,0.1616551307,0.1499784668,0.0778556025350702,939.1967908553779
0.03,1,13,14,0.2229020979,0.3805687204,0.414292121365842,0.2183727034,0.1499784668,0.4560270421433594,831.5554909612983
0.04,1,12,13,0.2229020979,0.4186939821,0.46762526468134774,0.2121729238,0.1499784668,0.4146892439095131,773.5444338545203
0.05,1,11,12,0.2178137652,0.4186939821,0.4797781326888576,0.1616551307,0.1499784668,0.0778556025350702,701.6309214159846
0.06,1,10,11,0.2183727034,0.2183727034,0.0,0.1560959211,0.1499784668,0.04078888410132767,620.8979025091976
0.07,1,9,10,0.1975129199,0.2279845956,0.13365673070939713,0.1616551307,0.1499784668,0.0778556025350702,609.3547920063138
0.08,1,7,8,0.1783796138,0.4186939821,0.5739618398494292,0.1616551307,0.1499784668,0.0778556025350702,502.7283533681184
0.09,1,6,7,0.1906492248,0.4186939821,0.5446573560867045,0.1616551307,0.1499784668,0.0778556025350702,422.05019032768905
0.1,1,5,6,0.1906492248,0.2663252241,0.2841488242645207,0.1616551307,0.1499784668,0.0778556025350702,383.6605968270451
0.2,0,1,1,0.1499784668,0.1499784668,0.0,0.1499784668,0.1499784668,0.0,120.41046512313187
